"id_day","id","Sex","DayofWeek","Age","H0","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12","H13","H14","H15","H16","H17","H18","H19","H20","H21","H22","H23","POSTLC1","POSTLC2","POSTLC3","BEST"
10105071000,10105071,1,"Monday",26,1,1,1,1,1,3,1,1,1,3,1,1,2,3,3,1,1,3,1,1,1,3,1,1,0.991886985854081,9.31853319930294e-005,0.00801982881392609,1
101050710000,10105071,1,"Tuesday",26,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1.00229416494477e-005,0.999980571456701,9.40560164951723e-006,2
101051110,10105111,2,"Thursday",50,1,1,1,1,3,1,1,3,3,1,3,1,1,3,1,3,3,1,2,2,2,1,1,1,0.75411293078006,0.000323781700351888,0.245563287519588,1
1010511100,10105111,2,"Friday",50,1,1,1,1,1,1,3,3,1,2,1,3,1,3,1,3,1,3,2,2,3,3,1,1,0.904867353438062,0.000186581440208406,0.0949460651217292,1
10105111000,10105111,2,"Saturday",50,1,1,1,1,1,3,3,3,1,1,2,1,2,1,2,2,1,2,2,1,3,1,1,1,0.00228380561774617,0.994945722494025,0.0027704718882285,2
101051110000,10105111,2,"Sunday",50,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,0.000166051032092296,0.998156401499004,0.00167754746890416,2
101051510,10105151,2,"Saturday",27,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,1,1,1,3,1,1,3,1,1,0.985801946016717,0.00440712975139051,0.00979092423189207,1
1010515100,10105151,2,"Sunday",27,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,2,1,0.789569730067756,0.000546721691207924,0.209883548241036,1
10105151000,10105151,2,"Monday",27,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,3,1,1,3,1,1,3,1,1,0.998333757930281,6.76490800433145e-005,0.00159859298967556,1
101051510000,10105151,2,"Tuesday",27,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,0.00133913405966479,0.998584439056601,7.64268837339492e-005,2
101052510,10105251,1,"Saturday",25,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,3,1,3,1,1,3,1,0.974104921186895,0.00469397979263769,0.021201099020467,1
1010525100,10105251,1,"Sunday",25,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,3,3,1,3,1,0.937810259797898,0.00887881396316775,0.0533109262389345,1
10105251000,10105251,1,"Monday",25,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,2,3,1,1,1,3,1,0.981405525156477,0.00405423213416104,0.0145402427093617,1
101052510000,10105251,1,"Tuesday",25,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,3,1,1,2,1,1,3,1,0.0456673891832243,0.938964177164875,0.0153684336519002,2
101052610,10105261,2,"Thursday",58,1,1,1,1,1,1,2,3,3,1,3,1,3,1,1,3,1,3,1,3,1,1,3,1,0.995135518831167,3.2766837532508e-006,0.0048612044850802,1
1010526100,10105261,2,"Friday",58,1,1,1,1,1,1,2,1,1,3,3,3,1,1,1,3,1,3,1,3,1,1,3,1,0.978597622239284,3.0936994438602e-005,0.0213714407662778,1
10105261000,10105261,2,"Saturday",58,1,1,1,1,1,1,2,1,1,3,1,3,1,3,1,3,1,3,1,1,1,1,3,1,0.981043380701969,0.000123349571258157,0.0188332697267726,1
101052610000,10105261,2,"Sunday",58,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1.41512143623546e-005,0.999744844895078,0.00024100389055942,2
101061610,10106161,1,"Thursday",27,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,3,1,3,1,1,3,1,1,1,0.997812199780401,1.55742853181446e-005,0.00217222593428041,1
1010616100,10106161,1,"Friday",27,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,0.989613895967292,0.00866995408111333,0.00171614995159449,1
10106161000,10106161,1,"Saturday",27,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958623916872144,0.0394347226693273,0.00194136045852837,1
101061610000,10106161,1,"Sunday",27,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,0.00368918179969824,0.996058010653885,0.00025280754641662,2
101061810,10106181,1,"Thursday",63,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,3,3,3,1,1,1,1,1,0.998501643955722,3.77206931064211e-005,0.00146063535117192,1
