"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5","ESTLC6","ESTLC7"
"RHO",1,"H12",3,0.0589958536733006,0.503488803647,0.0933428232059265,0.211356190561432,0.537735676831278,0.121547708314858,0.0396453844192949
"RHO",1,"H13",3,0.372232758576948,0.0133785761219762,0.107337800757157,0.278652224681114,0.0296010387424936,0.19318440373959,0.402899564035014
"RHO",1,"H14",3,0.0469448147406095,0.0619798091429259,0.509490165695807,0.163060231624021,0.0702334617999441,0.069355182465036,0.0154796145627548
"RHO",1,"H15",3,0.123338908188418,0.135660106611177,0.0415954391712513,0.196196900540568,0.136538070776401,0.0631818520170015,0.137823641651026
"RHO",1,"H16",3,0.0510959401638064,0.118058635669755,0.111494072438669,0.196844528680786,0.112982726951387,0.0706175217286779,0.139794765949978
"RHO",1,"H17",3,0.562427353219686,0.169473214797996,0.121798571941082,0.167234037808494,0.208461383547182,0.114787905369639,0.0131505259220857
"RHO",1,"H18",3,0.0393805097177715,0.232327265207286,0.233830379079094,0.21038750943454,0.221796141402429,0.187472207227962,0.282738641143824
"RHO",1,"H19",3,0.0926569719058902,0.166937079384771,0.206797333385187,0.252930677123601,0.148848204291566,0.155070606766013,0.199622110944483
"RHO",1,"H20",3,0.162684305929015,0.147158369857694,0.179856101718277,0.262753832380429,0.161029287039429,0.128615065144779,0.137943851795098
"RHO",1,"H21",3,0.123194680667438,0.124540634321678,0.146869627480305,0.222151123336095,0.123595956242379,0.0885992593835247,0.1317619040337
"RHO",1,"H22",3,0.0884136312462051,0.0693499473640621,0.101118386775888,0.201902346390373,0.0808918242032371,0.0512546142850992,0.0759465872935444
"RHO",1,"H23",3,0.0195405427763851,0.0153498426757787,0.0316916633991438,0.10145313405561,0.0165146932164283,0.0161900322984823,0.0214673150043185
"RHO",1,"H0",4,0.0051710981824675,0.000737560402893299,0.0109381328008164,0.00883128196697518,0.00367347301548882,0.0137788384568126,0.00564799140537995
"RHO",1,"H1",4,0.00401019026879551,0.00107626672413423,0.00259287193614882,0.00652764334926648,0.000498700055446973,0.0084488792122785,0.00169512167748012
"RHO",1,"H2",4,0.000696439157756628,5.83275296520894e-005,0.00519005858128601,0.00470922908870696,0,0.00574843013072245,0
"RHO",1,"H3",4,0.003293387199197,0.000835592268539148,1.02659231544572e-025,0.00311743780319764,0.000672206807130232,0.0087630099118772,7.38715863422855e-071
"RHO",1,"H4",4,0.00422904530698889,0.00272116024608477,0.00346032524181743,1.95418871285732e-218,1.89096401581363e-062,0.00720754408584174,0.00306752032047729
"RHO",1,"H5",4,0.00367291333827995,0.0078699243007239,0.00554202730874473,0.00492233487271455,0.001999336543994,0.0114437374455709,0.003526199979269
"RHO",1,"H6",4,0.0603142510965827,0.101543938980109,0.0468416832999501,0.0318823380546202,0.0193345608497204,0.0511238833861904,0.0501452517436462
"RHO",1,"H7",4,0.147304237635301,0.312251545872725,0.126990576329197,0.0888024798302987,0.04893733524767,0.080540273021136,0.168690800190645
"RHO",1,"H8",4,0.195468912886483,3.75582835441438e-013,0.192286783085364,0.0829584431714765,0.607604006093983,0.0863264524424434,0.192823826710892
"RHO",1,"H9",4,0.166373307647644,0.173146009369725,0.197667309011226,0.110090526522158,0.0461258913392661,0.155676906272414,0.157825082931394
