"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3"
"RHO",1,"H23",2,0.0542484172757514,0.00140014178031763,0.00227829217283487
"RHO",1,"H0",3,0.0287855435044547,0.0030040694911085,0.00530848184539046
"RHO",1,"H1",3,0.0163155035963927,0.000533659092452541,0.00125182677831255
"RHO",1,"H2",3,0.0061271676385603,0.00129282216868397,0.00109768711984571
"RHO",1,"H3",3,0.00675267088454019,0.000513783303702417,0.00174475717726149
"RHO",1,"H4",3,0.00736522682395248,0.00118061835993181,0.000432294563349799
"RHO",1,"H5",3,0.0119031191527117,0.003253293058355,0.0013212312447376
"RHO",1,"H6",3,0.0823609056687773,0.0298313103247377,0.0193145967746287
"RHO",1,"H7",3,0.14201353347918,0.0664589606354943,0.0596493907387792
"RHO",1,"H8",3,0.173054681966806,0.0783128076695555,0.069010848268263
"RHO",1,"H9",3,0.203747052947649,0.0829261584700026,0.068922572686181
"RHO",1,"H10",3,0.190299314508349,0.126752678398199,0.115427772477878
"RHO",1,"H11",3,0.191612429552708,0.0464731470585179,0.0991228376701209
"RHO",1,"H12",3,0.189175054928675,0.491583786344596,0.0233127593541184
"RHO",1,"H13",3,0.270992832517609,0.0279166294692844,0.341720605186267
"RHO",1,"H14",3,0.212856234468275,0.0777845820515399,0.0808442208390106
"RHO",1,"H15",3,0.179936743823691,0.116959761521099,0.103073476575382
"RHO",1,"H16",3,0.187024472781534,0.104831691673163,0.100562341383331
"RHO",1,"H17",3,0.169252310400512,0.181344459602123,0.129277192603484
"RHO",1,"H18",3,0.215567581650472,0.223429946915888,0.221717673805354
"RHO",1,"H19",3,0.245214582609824,0.153173745936164,0.167935813683566
"RHO",1,"H20",3,0.250671320946419,0.149222272372672,0.129199011772256
"RHO",1,"H21",3,0.212966303944326,0.115421711070658,0.114355687154627
"RHO",1,"H22",3,0.174570655934809,0.0694709101330182,0.0662020740168543
"RHO",1,"H23",3,0.0762199210622844,0.014439446050096,0.0169154416915325
