"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5"
"RHO",1,"H4",3,0.00666596677008663,0.00101394072574796,0.029347074355524,0.00769756997439343,0.00656237231161704
"RHO",1,"H5",3,0.0111659041532241,0.00235466282700253,0.0250735926004599,0.0165147714423894,0.0160469786337393
"RHO",1,"H6",3,0.103065618191569,0.0231143613668826,0.103101454098888,0.145779735748996,0.112642895107625
"RHO",1,"H7",3,0.274519339831983,0.0662319789985305,0.20106755618395,0.355442429575952,0.331112110338934
"RHO",1,"H8",3,0.348754395376018,0.0733264903601177,0.260976611806874,0.39039194486007,0.353623583196639
"RHO",1,"H9",3,0.313882788754201,0.0709845084485011,0.322068333192603,0.319248139303302,0.351115702194661
"RHO",1,"H10",3,0.342835903141141,0.0781707340977682,0.342931626925473,0.356032465487967,0.367870188927839
"RHO",1,"H11",3,0.308750525021711,0.0555727941728631,0.301550417415536,0.157573499956961,0.318776823530764
"RHO",1,"H12",3,0.0868062879631935,0.0442098602088266,0.354209468272237,0.915103854501056,0.167405782883526
"RHO",1,"H13",3,0.627276510592995,0.052878568121704,0.368950009853677,0.0997271441518815,0.638209647921373
"RHO",1,"H14",3,0.221147581161184,0.0471024796824644,0.373956434099996,0.248350335270261,0.250269873374246
"RHO",1,"H15",3,0.298836317431147,0.0690140230982316,0.280121034106636,0.328303994420092,0.302573241762577
"RHO",1,"H16",3,0.245158684289625,0.0564067024394023,0.3121320967603,0.270123639106725,0.343619518932092
"RHO",1,"H17",3,0.288471868960323,0.03155544814116,0.315969305129519,0.332942090790747,0.191928392479683
"RHO",1,"H18",3,0.478911074195783,0.0349006677526719,0.291422091932711,0.377857513699796,0.19997094012321
"RHO",1,"H19",3,0.000123559678293529,0.0428311385834389,0.269295447591433,0.269225300986966,0.845635624857819
"RHO",1,"H20",3,0.346338599151615,0.0509140952530583,0.328554183466524,0.336389608371604,0.241113705161298
"RHO",1,"H21",3,0.312382281177201,0.0529642088839069,0.221877637049478,0.288628245514651,0.300396720376326
"RHO",1,"H22",3,0.203817432505489,0.0405279639631145,0.313676987651552,0.186732750167336,0.219935539441858
"RHO",1,"H23",3,0.0639143293583928,0.010630747587164,0.194434902124765,0.0443786337512229,0.0651439739830209
