"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5"
"RHO",2,"H17",1,0.675860744444252,0.736262298166112,0.598654333634092,0.618625650982534,0.778025702781966
"RHO",2,"H18",1,0.44943297613242,0.643972763578165,0.594016514257204,0.566910924086515,0.759495156606337
"RHO",2,"H19",1,0.999879375173638,0.688674032571176,0.553293478852616,0.680286521434138,1.52127697465836e-032
"RHO",2,"H20",1,0.599064047275511,0.688639704620803,0.3833379497494,0.604066698869846,0.71556030793474
"RHO",2,"H21",1,0.640983800050585,0.7154286841111,0.442848439621521,0.662151224889085,0.65006356913836
"RHO",2,"H22",1,0.769325945057818,0.807700573728344,0.332874806649805,0.793802160028172,0.752743632060715
"RHO",2,"H23",1,0.932242732789968,0.941887239936761,0.61601078847613,0.954148132869589,0.929389354878801
"RHO",2,"H0",2,0.00111030417909902,0.0126688150281603,0.0870044738463581,9.47037210227486e-105,0.00114935960501564
"RHO",2,"H1",2,7.57053967781148e-296,0.0054940414616311,0.0344183534513939,0.000222931238820133,0.000118443247203046
"RHO",2,"H2",2,0.00012764603392146,0.0033090507761787,0.0263351748207248,0,0
"RHO",2,"H3",2,9.47627324868931e-005,0.00393972609917801,0.0114722059557681,4.35005736327018e-116,0.000187462620178712
"RHO",2,"H4",2,0,0.00410705406634632,0.00711149502965958,0.000294123441955652,0.000790679407241025
"RHO",2,"H5",2,0.000200756984575568,0.00611563311321671,0.0038670559109823,0.00090822012416395,0.000725830697153634
"RHO",2,"H6",2,0.0104391263325112,0.0901046480248959,0.0237737573817744,0.0157910041859838,0.0178523857036944
"RHO",2,"H7",2,0.0156168875957127,0.236301650990721,0.0165571576121007,0.0148794352686514,0.0131675129235996
"RHO",2,"H8",2,0.0206822658890569,0.270881212743734,0.0483442805050783,0.0268441364580879,0.0168953640299301
"RHO",2,"H9",2,0.00938889927115325,0.253985965526894,0.0522341508306783,0.0110117593735649,0.0182852523327802
"RHO",2,"H10",2,0.0196316735606268,0.26352102902173,0.0498717153770683,0.013667992289151,0.0193347122796843
"RHO",2,"H11",2,0.0160897287243112,0.190919324054671,0.0342202442590367,0.00852240168024497,0.0206109466291527
"RHO",2,"H12",2,0.0109335015138251,0.306770212140341,0.035726454619257,0.0845459912902652,0.0165191137495624
"RHO",2,"H13",2,0.058961728511756,0.393613562470677,0.0608532246545764,0.00585400669185015,0.063760248972605
"RHO",2,"H14",2,0.0180095422709034,0.18910952322182,0.0627676553861429,0.0141662045480641,0.0173821582112254
