"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4"
"RHO",1,"H0",3,0.0154643881316139,0.00312250280740946,0.134388768542875,0.0124692441613683
"RHO",1,"H1",3,0.00545260783294655,0.00117902824252108,0.0961359640431508,0.00366754350846282
"RHO",1,"H2",3,0.0033245831621456,0.00150849553397527,0.0491959602133849,0.0038095814776216
"RHO",1,"H3",3,0.00510462587518992,0.00118247547513437,0.041257392007394,0.00217724517197706
"RHO",1,"H4",3,0.00649088088130961,0.000970852080143024,0.0271463295453015,0.00738381053080388
"RHO",1,"H5",3,0.0125393133685685,0.00219786098118686,0.0284126618027383,0.0159353643846852
"RHO",1,"H6",3,0.105243756625907,0.0228068955405976,0.112874284566046,0.13984218473058
"RHO",1,"H7",3,0.292702565627884,0.0656773030953835,0.202721985407162,0.355042953345693
"RHO",1,"H8",3,0.347042095211374,0.0731598893235024,0.25900539166442,0.391940750178853
"RHO",1,"H9",3,0.321446384762708,0.0707504737407826,0.324946003143857,0.331955625112623
"RHO",1,"H10",3,0.351342226712979,0.0778073754059723,0.343693405654896,0.357897496748261
"RHO",1,"H11",3,0.316868542216642,0.0551528754954945,0.306495479648801,0.178547888185414
"RHO",1,"H12",3,0.0230037930451252,0.0444329517540801,0.350977943973545,0.914098461191719
"RHO",1,"H13",3,0.638804065764888,0.0521772060441963,0.383332576106739,0.190199452780413
"RHO",1,"H14",3,0.23133850975788,0.0470772286507711,0.365133648990449,0.244495994824402
"RHO",1,"H15",3,0.29628810671577,0.0687614642084291,0.281208066788921,0.329847266894643
"RHO",1,"H16",3,0.272451682151327,0.0556016000247731,0.322481343639334,0.289417805136758
