"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3"
"RHO",1,"H17",3,0.27843696472323,0.0313237775874218,0.275271158414161
"RHO",1,"H18",3,0.373006123291166,0.0350762822132455,0.26119804181896
"RHO",1,"H19",3,0.317894268532225,0.0445008978733472,0.263081307248155
"RHO",1,"H20",3,0.317212494447315,0.0511496922456123,0.28159554349671
"RHO",1,"H21",3,0.303798785010196,0.0536155515130104,0.196713193717242
"RHO",1,"H22",3,0.204575988852228,0.0404576952129925,0.272587966196301
"RHO",1,"H23",3,0.0591418819678489,0.0105266645895963,0.159820888763478
"RHO",2,"H0",1,0.983053048566648,0.984874485545737,0.801495015715636
"RHO",2,"H1",1,0.994369249467361,0.993752709629654,0.875874980485074
"RHO",2,"H2",1,0.99596792815415,0.995479449137057,0.928910700060185
"RHO",2,"H3",1,0.995518004142563,0.995134979524784,0.951042340099098
"RHO",2,"H4",1,0.992358000779306,0.995238138079444,0.970705324905816
"RHO",2,"H5",1,0.985299017382586,0.991882483523543,0.970033637634392
"RHO",2,"H6",1,0.867221764104298,0.886958221454493,0.862620024887923
"RHO",2,"H7",1,0.669963242026909,0.696942443054188,0.767011672949881
