"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5","ESTLC6"
"RHO",1,"H0",2,0.000693375617403423,0.0126795707201192,0.00164085479666563,0.000109215127891291,0.0958715571286733,0.000698729678774703
"RHO",1,"H1",2,0,0.00549811339867114,0.000153033337610072,0.000236559046710112,0.0377256099718627,0
"RHO",1,"H2",2,0.00049454981704374,0.00322204273785095,0,0,0.028722605766045,9.64138664471829e-005
"RHO",1,"H3",2,0.000495638424266838,0.00381858860731886,0,0,0.0128491468948923,0.000154031238976536
"RHO",1,"H4",2,0.000578957045072849,0.00412603709760754,0,0.000532610804156783,0.00823147184669076,0
"RHO",1,"H5",2,0.000326711162637095,0.00592108172616653,0.000172128615166693,0.00103567721852511,0.00402074438337854,0.000978884041442876
"RHO",1,"H6",2,0.00820128438514852,0.0892959655417229,0.0166217904042184,0.015395554415614,0.0288376304858721,0.0134967785444786
"RHO",1,"H7",2,0.00698629711982777,0.234713497227787,0.0156201751553298,0.013619520947646,0.0220174628602214,0.0214710367532659
"RHO",1,"H8",2,0.0152780007026249,0.269983870314444,0.0207005674670772,0.0250167680505484,0.0548202737895018,0.0214789916204557
"RHO",1,"H9",2,0.0105032938638439,0.253318125792429,0.0165449147024307,0.010252672406723,0.0568859450185801,0.010130625287889
"RHO",1,"H10",2,0.0165340312348236,0.261817708093686,0.0221108651247425,0.0137823894787702,0.0595014889813493,0.0174236670360163
"RHO",1,"H11",2,0.0312286596496838,0.18970867122437,0.013784108605862,0.00877369279766136,0.0333236838483339,0.0134344869710133
"RHO",1,"H12",2,0.00693568040967705,0.308942466980645,0.0128918212710743,0.0834112522562656,0.0400098636289867,0.0112247921555254
"RHO",1,"H13",2,0.00149925264065432,0.392287253508892,0.0908462156259086,0.00486975249044292,0.0769972997243179,0.0683301512623237
"RHO",1,"H14",2,0.050480080555019,0.184988157867644,0.00920732760360387,0.0152637184646041,0.0584503948064196,0.00776355018555859
"RHO",1,"H15",2,0.0174941487925249,0.22780065196842,0.0165005036903413,0.01960154535281,0.0537214766842641,0.0162560232109208
"RHO",1,"H16",2,0.0225623931896749,0.208930412510129,0.0263053323863931,0.0240540606900824,0.0810325286509682,0.0168405371936429
"RHO",1,"H17",2,0.031564742606462,0.231665646811142,0.0501689902374943,0.0459366126453414,0.0961663345003435,0.013757996932211
"RHO",1,"H18",2,0.0340093455951758,0.318473418927056,0.0254132599444853,0.0516002072391754,0.152085892140935,0.131320729545043
"RHO",1,"H19",2,0.0523406450242983,0.267501761631356,0.0869680085323927,0.0549358340574667,0.213825437571176,0.0194400875122168
"RHO",1,"H20",2,0.0439513703876638,0.257629506473222,0.0581212892660947,0.0575399392153615,0.337510348120197,0.0446650098289542
"RHO",1,"H21",2,0.0368072989192553,0.229136335460523,0.0480439102174369,0.0494628252353793,0.379016098865432,0.0549615189722455
"RHO",1,"H22",2,0.0201825003468197,0.150681405298052,0.0310900556591675,0.0213881199208535,0.399209147232451,0.0264800415587457
"RHO",1,"H23",2,0.00351894231464894,0.0471058532780693,0.00728251092855581,0.00208411151284911,0.213488903854478,0.0039082553394644
"RHO",1,"H0",3,0.0210503412068754,0.0030162191068878,0.0109745053118014,0.00627573698209021,0.108948909833035,0.0132654657080427
"RHO",1,"H1",3,0.00814203415406355,0.00122201273233592,0.00398508387835563,0.00295398601229346,0.0759050835390362,0.00234277359756854
"RHO",1,"H2",3,0.00556182094302832,0.00175924356155307,0.000450039644960778,0.00155861640354675,0.0364950584504789,0.00244462847415242
"RHO",1,"H3",3,0.007354528076365,0.00133915626059422,0.00269703288869914,0.00125513264102723,0.0318811925067567,1.42777847076475e-282
"RHO",1,"H4",3,0.00873631874590384,0.00104870725018882,0.00369025515213568,0.00470062507094759,0.0202390896761253,0.0035904984205752
"RHO",1,"H5",3,0.0133858306213019,0.00214259828586786,0.00844912555664507,0.0130110067333514,0.0150034193798975,0.00745216131083515
